#	跳转号	原检索号	描述	中文名	null	
312	309	156	果实呈蒴果状或浆果状，内含数个至1个种子。		-----	
313	314	158	花下位，雌雄异株，稀可杂性，雄蕊多数；果实呈浆果状；无托叶	大风子科	FA79	
314	313	158	花周位，两性；雄蕊5—12个；果实呈蒴果状；有托叶，但易脱落。		-----	
315	316	159	花为腋生的簇丛或头状花序；萼片4—6片	大风子科	FA79	
316	315	159	花为腋生的伞形花序；萼片10-14片	卫矛科	FA149	
317	2	2	花具花萼也具花冠，或有两层以上的花被片，有时花冠可为蜜腺叶所代替。		-----	
318	793	160	花冠常为离生的花瓣所组成。次160项见271页。		-----	
319	472	161	成熟雄蕊(或单体雄蕊的花药)多在10个以上，通常多数，或其数超过花瓣的2倍。		-----	
320	357	162	花萼和1个或更多的雌蕊多少有些互相愈合，即子房下位或半下位。		-----	
321	322	163	水生草本植物；子房多室	睡莲科	FA131	
322	321	163	陆生植物；子房1至数室，也可心皮为1至数个，或在海桑科中为多室。		-----	
323	324	164	植物体具肥厚的肉质茎，多有刺，常无真正叶片	仙人掌科	FA174	
324	323	164	植物体为普通形态，不呈仙人掌状，有真正的叶片。		-----	
325	334	165	草本植物或稀可为亚灌木。		-----	
326	329	166	花单性。		-----	
327	328	167	雌雄同株；花鲜艳，多成腋生聚伞花序；子房2～4室	秋海棠科	FA123	
328	327	167	雌雄异株；花小而不显著，成腋生穗状或总状花序	四数木科	null	
329	326	166	花常两性。		-----	
330	331	168	叶基生或茎生，呈心形，或在阿柏麻属Apama为长形，不为肉质；花为三出数	马兜铃科	FA197	
331	330	168	叶茎生，不呈心形，多少有些肉质，或为圆柱形；花不是三出数。		-----	
332	333	169	花萼裂片常为5，叶状；蒴果5室或更多室，在顶端呈放射状裂开	番杏科	FA126	
333	332	169	花萼裂片2；蒴果1室，盖裂	马齿苋科	FA108	
334	325	165	乔木或灌木(但在虎耳草科的银梅草属Deinanthe及草绣球属Cardiandra为亚灌木，黄山梅属Kirengeshoma为多年生高大草本)，有时以气生小根而攀援。		-----	
335	344	170	叶通常对生(虎耳草科的草绣球属Cardmndra为例外)，或在石榴科的石榴属Punico中有时可互生。		-----	
336	337	171	叶缘常有锯齿或全缘；花序(除山梅花族Philadelpheae外)常有不孕的边缘花	虎耳草科	FA93	
337	336	171	叶全缘；花序无不孕花		-----	
338	339	172	叶为脱落，陛；花萼呈朱红色	石榴科	FA143	
339	338	172	叶为常绿性；花萼不呈朱红色。		-----	
340	341	173	叶片中有腺体微点；胚珠常多数	桃金娘科	FA141	
341	340	173	叶片中无微点。		-----	
342	343	174	胚珠在每子房室中为多数	海桑科	FA145	
343	342	174	胚珠在每子房室中仅2个，稀可较多	红树科	FA144	
344	335	170	叶互生		-----	
345	346	175	花瓣细长形兼长方形，最后向外翻转	八角枫科	FA179	
